Samples;exP;SOC;pH;HAL;exCa;exMg;exK;SB;CEC;BSP
1416;21.58;24.04;6.2;2.95;3.18;0.78;0.65;4.6;7.55;60.97
1417;28.49;20.45;5.9;3.18;7.83;3.78;0.62;12.23;15.41;79.39
1418;3.77;16.21;5.7;3.69;6.2;3.21;0.62;10.03;13.72;73.13
1425;30.68;16.75;4.6;6.69;3.85;1.6;0.17;5.62;12.31;45.68
1426;1.64;12.82;4.9;5.35;3.78;1.77;0.1;5.64;10.99;51.33
1429;8.01;20.34;5.7;3.97;5.73;2.92;0.55;9.2;13.17;69.85
1430;1.85;19.36;5.7;3.69;5.35;2.72;0.19;8.26;11.94;69.14
1432;19.66;27.66;5.9;3.42;7.38;3.37;0.58;11.32;14.75;76.8
1436;4.45;23.14;5.3;4.61;4.43;2.06;0.1;6.58;11.19;58.8
1441;44.59;21.86;5.6;4.28;6.85;1.65;0.72;9.22;13.49;68.3
1444;30.75;24.9;4.9;6.21;4.05;1.03;0.62;5.7;11.91;47.88
1448;25.55;33.0;5.2;4.61;6.83;1.89;0.65;9.37;13.97;67.02
1449;22.47;22.75;4.9;5.76;4.45;1.03;0.53;6.01;11.77;51.04
1452;42.53;26.03;4.9;5.76;4.9;1.15;0.91;6.96;12.73;54.72
1457;11.64;21.97;4.3;8.36;1.78;0.78;0.17;2.72;11.08;24.58
1461;1.3;15.08;4.7;5.76;1.65;1.28;0.07;3.0;8.76;34.22
1464;15.55;24.12;4.8;5.76;2.95;1.56;0.7;5.21;10.97;47.48
1466;0.96;20.26;4.9;5.35;3.45;1.32;0.12;4.89;10.23;47.74
1468;12.74;13.01;6.2;2.74;5.93;2.96;0.74;9.63;12.37;77.87
1473;2.4;9.66;6.0;2.95;5.18;2.47;0.46;8.1;11.05;73.31
1475;2.05;5.3;5.8;3.18;4.03;1.69;0.34;6.05;9.22;65.57
1478;2.33;12.47;5.5;3.97;5.28;2.51;0.22;8.0;11.97;66.83
1481;19.73;11.03;4.7;5.35;3.45;1.23;0.55;5.24;10.58;49.47
1488;18.15;21.16;5.7;3.69;6.18;3.17;0.41;9.75;13.44;72.57
1492;18.01;19.36;6.0;2.95;7.23;3.62;0.58;11.42;14.37;79.48
1493;1.99;10.6;5.5;3.97;3.38;2.63;0.36;6.37;10.34;61.59
1494;0.68;11.22;5.1;4.61;1.65;1.65;0.1;3.39;8.0;42.4
1496;35.62;28.48;5.6;3.69;6.1;3.29;0.77;10.16;13.85;73.38
1500;8.36;26.45;4.9;5.76;4.88;2.14;0.19;7.21;12.97;55.57
1501;24.25;18.86;4.6;6.69;3.03;1.19;0.19;4.41;11.1;39.74
1504;18.36;27.16;5.3;4.61;5.93;1.81;0.67;8.41;13.02;64.59
1505;39.11;22.32;4.9;5.76;4.4;1.15;0.46;6.01;11.77;51.05
1508;25.75;27.93;5.0;5.35;4.63;1.6;0.94;7.17;12.51;57.26
1509;98.29;21.0;4.4;7.76;2.3;0.78;0.43;3.51;11.27;31.17
1510;9.32;17.26;4.5;6.69;2.55;0.74;0.31;3.6;10.29;35.01
1512;136.64;26.8;4.5;7.76;4.2;1.23;0.55;5.99;13.75;43.55
1513;258.22;24.23;4.2;9.7;2.85;0.66;0.38;3.89;13.59;28.63
1514;15.96;19.32;4.0;10.45;1.0;0.29;0.24;1.53;11.98;12.76
1517;52.47;20.22;4.9;5.35;4.55;1.36;0.46;6.36;11.71;54.34
